Asset Name,Назив дела,
Attachments,Прилози,
Attendance,Похађање,
Attendance Date,Гледалаца Датум,
Attendance From Date,Гледалаца Од датума,
Attendance Marked,Посећеност је обележена,
Attendance Request,Захтев за присуством,
Attendance To Date,Присуство Дате,
Attendance will be marked automatically only after this date.,Похађање ће бити обележено аутоматски након овог датума.,
Attendees,Присутни,
Auto Attendance Settings,Подешавања аутоматске посете,
Auto Leave Encashment,Ауто Леаве Енцасхмент,
Awaiting Response,Очекујем одговор,
Bank Account,Банковни рачун,
Bank Account No,Банкарски рачун бр,
Bank Details,Банковног,
Bank Name,Име банке,
Bank Remittance,Банковни дознаци,
Base,база,
Begin On (Days),Почетак (дани),
Begin check-in before shift start time (in minutes),Започните пријаву пре времена почетка смене (у минутама),
Beginner,почетник,
Bimonthly,часопис који излази свака два месеца,
Block Date,Блоцк Дате,
Block Days,Блок Дана,
Block Holidays on important days.,Блоцк Холидаис он важним данима.,
Blue,Плава,
Body,Тело,
Bonus Amount,Бонус износ,
Bonus Payment Date,Датум исплате бонуса,
Branch,Филијала,
Calculate Payroll Working Days Based On,Израчунајте радне дане зараде на основу,
Calculated in days,Израчунато у данима,
Cancelled,Otkazan,
Carry Forward,Пренети,
Carry Forwarded Leaves,Царри Форвардед Леавес,
Change,Промена,
Check Vacancies On Job Offer Creation,Проверите конкурсе за креирање понуде за посао,
Check-in Date,Датум пријаве,
Check-out Date,Датум одласка,
Claim Benefit For,Захтевај повластицу за,
Claim Date,Датум подношења захтева,
Claimed,Тврди,
Claimed Amount,Захтевани износ,
Clearance Date,Чишћење Датум,
Closed,Zatvoreno,
Closing Notes,Завршне белешке,
Color,Боја,
Comments,Коментари,
Company,Preduzeće,
Compensatory Leave Request,Захтев за компензацијско одузимање,
Completed,Завршено,
Component,Саставни део,
Component properties and references ,Својства и референце компонената,
Condition,Услов,
Condition and formula,Стање и формула,
Conditions,Услови,
Conditions and Formula variable and example,Услови и варијабла формуле и пример,
Conference,конференција,
Consider Unmarked Attendance As,Неозначено присуство посматрајте као,
Contact Email,Контакт Емаил,
Contact No.,Контакт број,
Contact Number,Контакт број,
Copy of Invitation/Announcement,Копија позива / обавештења,
Cost,Трошкови,
Cost Center,Трошкови центар,
Cost Centers,Цост центри,
Costing,Коштање,
Costing Details,Детаљи о трошковима,
Country,Država,
Course,курс,
Cover Letter,Пропратно писмо,
Create New Employee Id,Креирај нови број запослених,
Create Separate Payment Entry Against Benefit Claim,Направите одвојени улаз за плаћање против потраживања,
Criteria,Критеријуми,
Currency,Валута,
Current,Тренутни,
Current Count,Тренутни број,
Current Odometer value ,Тренутна вредност одометра,
Current Openings,Цуррент Опенингс,
Daily,Дневно,
Daily Work Summary,Дневни Рад Преглед,
Daily Work Summary Group,Дневна радна група,
Daily Work Summary Group User,Корисник дневног рада,
Daily Work Summary Replies,Дневни послови,
Dashboard,Nadzorna ploča,
Date,Датум,
Date of Birth,Датум рођења,
Date of Joining,Датум Придруживање,
Declarations,Декларације,
Declared Amount,Декларисан износ,
Deduct Full Tax on Selected Payroll Date,Одбијени пуни порез на одабрани датум обрачуна,
Deduct Tax For Unclaimed Employee Benefits,Порез на одбитку за необјављене користи запосленима,
Deduct Tax For Unsubmitted Tax Exemption Proof,Порез на одбитку за неоснован доказ о ослобађању од пореза,
Deduction,Одузимање,
Deductions,Одбици,
Default Account,Уобичајено Рачун,
Default Amount,Уобичајено Износ,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Дефаулт Банка / Готовина налог ће аутоматски бити ажуриран у плате књижење када је изабран овај режим.,
Default Salary Structure,Подразумевана плата Структура,
Deferred Expense Account,Одложени рачун трошкова,
Delivery Trip,Достава путовања,
Department,Одељење,
Department Approver,Одељење Одељења,
Departure Datetime,Одлазак Датетиме,
Depends on Payment Days,Зависи од дана плаћања,
Description,Опис,
Description of a Job Opening,Опис посао Отварање,
Designation,Ознака,
Designation Skill,Ознака вештина,
Details,Детаљи,
"Details of Sponsor (Name, Location)","Детаљи спонзора (име, локација)",
Determine Check-in and Check-out,Одредите Цхецк-ин и Цхецк-оут,
Disable,Онемогући,
Disable Rounded Total,Онемогући Роундед Укупно,
Disabled,Онемогућено,
Dispensed Amount (Pro-rated),Диспенсед Амоунт (Про-ратед),
Do Not Include in Total,Не укључују у укупно,
Do not include in total,Не укључујте у потпуности,
Documentation,Документација,
Domestic,Домаћи,
Download Template,Преузмите шаблон,
Draft,Na čekanju,
Duration (Days),Трајање (дани),
Early Exit,Рани излазак,
Early Exit Grace Period,Период раног изласка из милости,
Earned Leave,Зарађени одлазак,
Earned Leave Frequency,Зарађена фреквенција одласка,
Earning,Стицање,
Earning Component,Зарађивачка компонента,
Earnings,Зарада,
Effective from,На снази од,
Email,Имејл,
Email Address,Email adresa,
Email ID,Email adresa,
Email Salary Slip to Employee,Емаил плата Слип да запосленом,
Email Sent To,Емаил који је послат,
Email Template,Емаил Темплате,
Emails salary slip to employee based on preferred email selected in Employee,Емаилс плата клизање да запосленом на основу пожељног е-маил одабран у запосленог,
Employee,Запосленик,
Employee Advance,Адванце Емплоиее,
Employee Advance Summary,Сажетак упосленика,
Employee Attendance Tool,Запослени Присуство Алат,
Employee Benefit Application,Апплицатион Емплоиее Бенефит,
Employee Benefit Application Detail,Детаил Апплицатион Бенефит Емплоиее,
Employee Benefit Claim,Захтев за накнаде запосленима,
Employee Benefits,Примања запослених,
Employee Boarding Activity,Активност укрцавања запослених,
Employee Checkin,Цхецкин Емплоиее Цхецкин,
Employee Details,Запослених Детаљи,
Employee Emails,Емаилс оф емплоиеес,
Employee Grade,Разред запослених,
Employee Health Insurance,Здравствено осигурање запослених,
Employee Incentive,Инцентиве за запослене,
Employee Name,Запослени Име,
Employee Number,Запослени Број,
Employee Onboarding,Емплоиее Онбоардинг,
Employee Onboarding Template,Темплате Емплоиее онбоардинг,
Employee Other Income,Остали приходи запослених,
Employee Promotion,Промоција запослених,
Employee Promotion Details,Детаљи о напредовању запослених,
Employee Property History,Историја имовине запослених,
Employee Referral,Упућивање запослених,
Employee Separation,Раздвајање запослених,
Employee Separation Template,Шаблон за раздвајање запослених,
Employee Settings,Подешавања запослених,
Employee Skill,Вештина запослених,
Employee Skill Map,Мапа вештина запослених,
Employee Skills,Вештине запослених,
Employee Tax Exemption Category,Категорија ослобађања од пореза на запослене,
Employee Tax Exemption Declaration,Изјава о изузећу пореза на раднике,
Employee Tax Exemption Declaration Category,Категорија изјаве о изузећу пореза на раднике,
Employee Tax Exemption Proof Submission,Поднесак доказа ослобађања од пореза на раднике,
Employee Tax Exemption Proof Submission Detail,Детаљи о подношењу доказа о изузећу пореза на раднике,
Employee Tax Exemption Sub Category,Под категорију изузећа за порез на запослене,
Employee Training,Обука запослених,
Employee Transfer,Трансфер радника,
Employee Transfer Detail,Детаљи трансфера запослених,
Employee Transfer Details,Детаљи трансфера запослених,
Employees,zaposleni,
Employees HTML,zaposleni ХТМЛ,
Employees working on a holiday,Запослени који раде на одмор,
Employment Type,Тип запослења,
Enable Auto Attendance,Омогући аутоматско присуство,
Enabled,Омогућено,
Encashment,Енцасхмент,
Encashment Amount,Амоунт оф енцасхмент,
Encashment Date,Датум Енцасхмент,
Encrypt Salary Slips in Emails,Шифрирајте камате за плаће у е-порукама,
End Date,Датум завршетка,
End Time,Време завршетка,
Error Message,Порука о грешци,
Estimated Cost Per Position,Процењени трошак по позицији,
Evaluation Date,Датум процене,
Event Details,Детаљи догађаја,
Event Name,Име догађаја,
Event Status,Статус догађаја,
Every Valid Check-in and Check-out,Свака ваљана пријава и одјава,
Exam,испит,
Exchange Rate,Девизни курс,
Exempted from Income Tax,Изузето од пореза на доходак,
Exemption Category,Категорија изузећа,
Exemption Sub Category,Изузетна подкатегорија,
Exit Interview Summary,Излаз из интервјуа,
Expense,расход,
Expense Account,Трошкови налога,
Expense Approver,Расходи одобраватељ,
Expense Approver Mandatory In Expense Claim,Трошкови одобрења обавезни у потраживању трошкова,
Expense Claim,Расходи потраживање,
Expense Claim Account,Расходи Захтев налог,
Expense Claim Advance,Адванце Цлаим Адванце,
Expense Claim Detail,Расходи потраживање Детаљ,
Expense Claim Type,Расходи потраживање Тип,
Expense Date,Расходи Датум,
Expense Proof,Доказ о трошковима,
Expense Taxes and Charges,Порези и таксе за трошење,
Expense Type,Тип расхода,
Expenses,расходы,
Expire Carry Forwarded Leaves (Days),Истече Царри Форвардед Леавес (Дани),
Expired,Истекло,
Explanation,Објашњење,
Failed,Неуспешно,
Feedback,Повратна веза,
Feedback Submitted,феедбацк Субмиттед,
Field Name,Име поља,
Filter List,Листа филтера,
Filters,Филтери,
First Check-in and Last Check-out,Прва пријава и последња одјава,
Fleet Manager,флота директор,
Flexible Benefits,Флексибилне предности,
Flight,Лет,
Follow via Email,Пратите преко е-поште,
For Employee,За запосленог,
Formula,формула,
Fortnightly,четрнаестодневни,
Fraction of Daily Salary for Half Day,Део дневне зараде за пола дана,
Frequency,Фреквенција,
From Amount,Од износа,
From Date,Датум почетка,
From Employee,Од запосленог,
From Time,Од времена,
From User,Од стране корисника,
Fuel Price,Гориво Цена,
Fuel Qty,Гориво ком,
Full Name,Име и презиме,
Fully Sponsored,Потпуно спонзорисани,
Funded Amount,Средствени износ,
Geolocation,Геолокација,
Get Employees,Добијте запослене,
Get Template,Гет шаблона,
Gluten Free,Без глутена,
Goal,Циљ,
Goals,Циљеви,
Grade,разред,
Grand Total,Свеукупно,
Green,Зелен,
Gross Pay,Бруто Паи,
HR,ХР,
HR Manager,ХР Менаџер,
HR Settings,ХР Подешавања,
HR User,ХР Корисник,
HR-ADS-.YY.-.MM.-,ХР-АДС-.ИИ .-. ММ.-,
HR-ATT-.YYYY.-,ХР-АТТ-ИИИИ.-,
HR-EAD-.YYYY.-,ХР-ЕАД-.ИИИИ.-,
HR-EXP-.YYYY.-,ХР-ЕКСП-ИИИИ.-,
HR-LAL-.YYYY.-,ХР-ЛАЛ-.ИИИИ.-,
HR-LAP-.YYYY.-,ХР-ЛАП-ИИИИ.-,
HR-VLOG-.YYYY.-,ХР-ВЛОГ-.ИИИИ.-,
Half Day,Пола дана,
Half Day Date,Полудневни Датум,
Half Yearly,Пола Годишњи,
Half-Yearly,Полугодишње,
Has Certificate,Има сертификат,
Health Insurance Name,Назив здравственог осигурања,
Help,Помоћ,
Hiring Settings,Подешавања запошљавања,
Hold,Држати,
Holiday List,Листа празника,
Holiday List for Optional Leave,Лист за одмор за опциони одлазак,
Holidays,Празници,
Hour Rate,Стопа час,
Hours,Хоурс,
IN,ИН,
Identification Document Number,Број идентификационог документа,
Identification Document Type,Тип идентификационог документа,
"If checked, hides and disables Rounded Total field in Salary Slips","Ако је означено, сакрива и онемогућује поље Заокружено укупно у листићима за плаћу",
"If checked, the full amount will be deducted from taxable income before calculating income tax without any declaration or proof submission.","Ако се означи, пуни износ ће се одбити од опорезивог дохотка пре обрачуна пореза на доходак без икакве изјаве или подношења доказа.",
"If enabled, Tax Exemption Declaration will be considered for income tax calculation.","Ако је омогућено, за обрачун пореза на доходак узимаће се у обзир Изјава о изузећу од пореза.",
"If not checked, the list will have to be added to each Department where it has to be applied.","Ако се не проверава, листа ће морати да се дода сваком одељењу где има да се примењује.",
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Ако је изабран, вредност наведена или израчунати ове компоненте неће допринети зараде или одбитака. Међутим, то је вредност може да се наведени од стране других компоненти које се могу додати или одбити.",
Import Attendance,Увоз Гледалаца,
Import Log,Log uvoza,
In Process,У процесу,
In Progress,У току,
In Time,На време,
Inactive,Неактиван,
Incentive Amount,Подстицајни износ,
Include holidays in Total no. of Working Days,Укључи одмор у Укупан бр. радних дана,
Include holidays within leaves as leaves,"Укључи празнике у листовима, као лишће",
Income Tax Deductions,Одбици пореза на доходак,
Income Tax Slab,Плоча пореза на доходак,
Income Tax Slab Other Charges,Остале накнаде за порез на доходак,
Inspection,инспекција,
Interest,интерес,
Interest Amount,Износ камате,
Intermediate,средњи,
International,Интернатионал,
Internet,Интернет,
Introduction,Увод,
Invalid,неважећи,
Invited,позван,
Invoice Ref,фактура Реф,
Is Active,Je aktivan,
Is Carry Forward,Је напред Царри,
Is Compensatory,Ис Компензација,
Is Default,Подразумевано,
Is Earned Leave,Да ли је зарађена?,
Is Expired,Истекао је,
Is Flexible Benefit,Је флексибилна корист,
Is Group,Група,
Is Income Tax Component,Је компонента пореза на доходак,
Is Leave Without Pay,Да ли је Оставите без плате,
Is Mandatory,Је обавезно,
Is Optional Leave,Да ли је опционално напустити,
Is Paid,Се плаћа,
Is Recurring,Понавља се,
Is Tax Applicable,Да ли се порез примењује,
Job Applicant,Посао захтева,
Job Applicant Source,Извор апликанта за посао,
Job Description,Опис посла,
Job Offer,Понуда за посао,
Job Offer Term,Трајање понуде за посао,
Job Offer Terms,Услови понуде посла,
Job Opening,Посао Отварање,
Job Title,Радно место,
"Job profile, qualifications required etc.","Профиль работы , квалификация , необходимые т.д.",
Joining Date,Датум приступања,
Journal Entry,Јоурнал Ентри,
KRA,Гром,
Key Performance Area,Кључна Перформансе Област,
Key Responsibility Area,Кључна Одговорност Површина,
Keyboard Shortcuts,Пречице на тастатури,
Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.,Последња позната успешна синхронизација Цхецкин запосленика. Поништите ово само ако сте сигурни да су сви Дневници синхронизовани са свих локација. Молимо вас да то не мењате ако нисте сигурни.,
Last Name,Презиме,
Last Sync of Checkin,Ласт Синц оф Цхецкин,
Late Entry,Касни улазак,
Late Entry Grace Period,Период касног уласка,
Latitude,Географска ширина,
Leave,Одлази,
Leave Allocation,Оставите Алокација,
Leave Allocations,Леаве Аллоцатион,
Leave Application,Оставите апликацију,
Leave Approval Notification Template,Оставите шаблон за упозорење о одобрењу,
Leave Approver,Оставите Аппровер,
Leave Approver Mandatory In Leave Application,Оставите одобрење у обавезној апликацији,
Leave Approver Name,Оставите одобраватељ Име,
Leave Balance,Оставите равнотежу,
Leave Balance Before Application,Оставите биланс Пре пријаве,
Leave Block List,Оставите Блоцк Лист,
Leave Block List Allow,Оставите листу блокираних Аллов,
Leave Block List Allowed,Оставите Блоцк Лист Дозвољени,
Leave Block List Date,Оставите Датум листу блокираних,
Leave Block List Dates,Оставите Датуми листу блокираних,
Leave Block List Name,Оставите Име листу блокираних,
Leave Control Panel,Оставите Цонтрол Панел,
Leave Encashment,Оставите уновчења,
Leave Encashment Amount Per Day,Оставите износ уноса на дан,
Leave Ledger Entry,Оставите унос књиге,
Leave Period,Оставите Период,
Leave Policy,Леаве Полици,
Leave Policy Detail,Оставите детаље о политици,
Leave Policy Details,Оставите детаље о политици,
Leave Status Notification Template,Оставите шаблон за статусно стање,
Leave Type,Оставите Вид,
Leave Type Name,Оставите Име Вид,
Leave Without Pay,Оставите Без плате,
Leaves,Оставља,
Leaves Allocated,Алоцирано лишће,
Left,Лево,
Letter Head,Zaglavlje,
Level,Ниво,
License Plate,Регистарске таблице,
Loan,Зајам,
Loan Repayment Entry,Отплата зајма,
Location,расположение,
Location / Device ID,Локација / ИД уређаја,
Location Name,Назив локације,
Lodging Required,Потребно смештање,
Log Type,Врста дневника,
Longitude,Дужина,
Make,Правити,
Manual,Ручно,
Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,Означите присуство на основу „Цхецкинге Емплоиее Цхецкин“ за запослене додељене овој смени.,
Marked Attendance,Приметан Присуство,
Marked Attendance HTML,Приметан Присуство ХТМЛ,
Max Amount Eligible,Максимални износ квалификован,
Max Benefit Amount,Мак Бенефит Количина,
Max Benefit Amount (Yearly),Максимални износ накнаде (Годишњи),
Max Benefits (Amount),Максималне предности (износ),
Max Benefits (Yearly),Мак Бенефитс (Годишње),
Max Exemption Amount,Износ максималног изузећа,
Max Taxable Income,Максимални опорезиви приход,
Max working hours against Timesheet,Мак радног времена против ТимеСхеет,
Maximum Carry Forwarded Leaves,Максимално носећи прослеђене листове,
Maximum Exempted Amount,Максимални изузети износ,
Maximum Exemption Amount,Максимални износ изузећа,
Meal Preference,Преференција за оброк,
Message,Порука,
Mileage,километража,
Min Taxable Income,Минимални опорезиви приход,
Mode Of Payment,Начин плаћања,
Mode of Payment,Начин плаћања,
Mode of Travel,Режим путовања,
Model,Модел,
Month,Месец,
Monthly,Месечно,
Monthly Attendance Sheet,Гледалаца Месечни лист,
More Info,Више информација,
My Settings,Moja podešavanja,
Name,Назив,
Name of Organizer,Име организатора,
Naming Series,Серије именовања,
Net Pay,Нето плата,
New,Нови,
New Company,Нова Компанија,
New Employee ID,Нови ИД запослених,
New Leaves Allocated,Нови Леавес Издвојена,
New Leaves Allocated (In Days),Нове Лишће Издвојена (у данима),
No,Не,
Non Diary,Нон Дневник,
Non-Vegetarian,Не вегетаријанац,
Not Started,Није Стартед,
Notes,Белешке,
Notify users by email,Обавештавајте кориснике путем е-маила,
Number Of Employees,Број запослених,
Number Of Positions,Број позиција,
OUT,ОУТ,
Odometer Reading,Километража,
Offer Date,Понуда Датум,
Offer Term,Понуда Рок,
Old Parent,Претходна матична,
On Duty,На дужности,
On Hold,На чекању,
On Leave,На одсуству,
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Само утицај на порез (не могу тврдити, али део пореског прихода)",
Open,Отворено,
Orange,Наранџаста,
Other Details,Остали детаљи,
Other Settings,Остала подешавања,
Other Taxes and Charges,Остали порези и накнаде,
Out Time,Немати времена,
Overwrite Salary Structure Amount,Прекорачити износ плата у структури,
Owned,Овнед,
Paid,Плаћен,
Paid Amount,Плаћени износ,
"Partially Sponsored, Require Partial Funding","Делимично спонзорисани, захтевају делимично финансирање",
Passport Number,Пасош Број,
Password Policy,Политика лозинке,
Pay Against Benefit Claim,Плаћање против повластице,
Payable Account,Плаћа се рачуна,
Payables,Обавезе,
Payment Account,Плаћање рачуна,
Payment Days,Дана исплате,
Payment Entry,plaćanje Ступање,
Payroll,платни списак,
Payroll Date,Датум плаћања,
Payroll Employee Detail,Детаљи о запосленима,
Payroll Entry,Унос плаћања,
Payroll Frequency,паиролл Фреквенција,
Payroll Period,Период плаћања,
Payroll Period Date,Датум периода плаћања,
Payroll Periods,Периоди плаћања,
Payroll Settings,Платне Подешавања,
Pending,На чекању,
Pending Amount,Чека Износ,
Percent,Проценат,
Percent Deduction,Проценат одбијања,
Phone Number,Број телефона,
Planned number of Positions,Планирани број позиција,
Posting Date,Постављање Дате,
Preferred Area for Lodging,Преферирана област за смештај,
Present,Представљање,
Print Heading,Штампање наслова,
Printing Details,Штампање Детаљи,
Process Attendance After,Посједовање процеса након,
Professional Tax Deductions,Професионални одбици пореза,
Proficiency,Професионалност,
Progress,напредак,
Project,Projekti,
Promotion Date,Датум промоције,
Property,Имовина,
Provident Fund Deductions,Одбици осигуравајућег фонда,
Publish on website,Објави на сајту,
Purpose,Намена,
Purpose of Travel,Сврха путовања,
Quarterly,Тромесечни,
Queued,У реду,
Quick Filters,Брзи филтери,
Raised By,Подигао,
Rate,Јединична цена,
Rating,Оцењивање,
Re-allocate Leaves,Поново доделите листове,
Read,Прочитано,
Reason,Разлог,
Receivables,Потраживања,
Recruitment Analytics,Аналитика запошљавања,
Red,Црвен,
Reference,Vezni dokumenti,
Reference Document,Ознака документа,
Reference Document Name,Референтни назив документа,
Reference Document Type,Врста референтног документа,
References,Референце,
Referrer,Реферрер,
Refuelling Details,Рефуеллинг Детаљи,
Rejected,Одбијен,
Relieving Date,Разрешење Дате,
Reload,Učitaj ponovo,
Remaining Benefits (Yearly),Преостале користи (годишње),
Remark,Примедба,
Remarks,Примедбе,
Remind Before,Подсети Пре,
Reminded,Подсетио,
Reminder,Подсетник,
Rented Car,Рентед Цар,
Replied,Одговорено,
Report an Issue,Пријави проблем,
Require Full Funding,Захтевајте потпуну финансијску помоћ,
Required for Employee Creation,Потребно за стварање запослених,
Resignation Letter Date,Оставка Писмо Датум,
Resolution Date,Резолуција Датум,
Resolution Details,Резолуција Детаљи,
Resolved,Решен,
Resolved By,Решен,
Result,Резултат,
Resume,Резиме,
Resume Attachment,ресуме Прилог,
Retention Bonus,Бонус за задржавање,
Return,Повратак,
Returned Amount,Износ враћеног износа,
Right,Десно,
Role,Улога,
Role Allowed to Create Backdated Leave Application,Улога је дозвољена за креирање назадне апликације за одлазак,
Round to the Nearest Integer,Заокружите на најближи цели број,
Rounded Total,Роундед Укупно,
Rounded Total (Company Currency),Заобљени Укупно (Друштво валута),
Rounding,Заокруживање,
Route,Путања,
Salary,Плата,
Salary Component,плата Компонента,
Salary Component Account,Плата Компонента налог,
Salary Component Type,Тип плата компонената,
Salary Component for timesheet based payroll.,Плата Компонента за плате на основу ТимеСхеет.,
Salary Detail,плата Детаљ,
Salary Details,Детаљи о платама,
Salary Payments Based On Payment Mode,Исплате плата на основу начина плаћања,
Salary Payments via ECS,Исплате плата путем ЕЦС-а,
Salary Register,плата Регистрација,
Salary Slip,Плата Слип,
Salary Slip Based on Timesheet,Плата Слип основу ТимеСхеет,
Salary Slip Loan,Зараду за плате,
Salary Slip Timesheet,Плата Слип Тимесхеет,
Salary Slips Created,Створене плоче,
Salary Slips Submitted,Посланице за плате,
Salary Structure,Плата Структура,
Salary Structure Assignment,Распоред плата,
Salary breakup based on Earning and Deduction.,Плата распада на основу зараде и дедукције.,
Scheduled,Планиран,
Score,скор,
Score Earned,Оцена Еарнед,
Select Employees,Изаберите Запослени,
Select Payment Account to make Bank Entry,Избор Плаћање рачуна да банке Ентри,
Select Terms and Conditions,Изаберите Услови,
Select Users,Изаберите Кориснике,
Self-Study,Само-студирање,
Seminar,семинар,
Send Emails At,Шаљу мејлове на,
Sender,Пошиљалац,
Sender Email,Емаил пошиљаоца,
Sent,Сент,
Series,Серија,
Service,служба,
Service Details,Сервице Детаљи,
Service Item,сервис артикла,
Session Defaults,Задане поставке сесије,
Settings,Подешавања,
Settled,Решени,
Shift,Смена,
Shift Actual End,Стварни крај промене,
Shift Actual Start,Стварни почетак промјене,
Shift Assignment,Схифт Ассигнмент,
Shift End,Схифт Енд,
Shift Request,Захтев за пребацивање,
Shift Start,Схифт Старт,
Shift Type,Тип померања,
Show Leaves Of All Department Members In Calendar,Покажите листе свих чланова Одељења у календару,
Skill,Вештина,
Skill Name,Назив вештине,
Skills,Вештине,
Skip Auto Attendance,Прескочите аутоматско присуство,
Source,Извор,
Source Name,Назив извора,
Sponsored Amount,Спонзорирани износ,
Staffing Plan,План запошљавања,
Staffing Plan Detail,Детаљи особља плана,
Standard Tax Exemption Amount,Стандардни износ ослобођења од пореза,
Start Date,Датум почетка,
Start Time,Време почетка,
Statistical Component,Статистички Компонента,
Status,Статус,
Stop users from making Leave Applications on following days.,Стоп кориснике од доношења Леаве апликација на наредним данима.,
Strictly based on Log Type in Employee Checkin,Строго засновано на типу дневника у Цхецкињу запосленика,
Subject,Наслов,
Submission Date,Датум подношења,
Submitted,Potvrđen,
Supplier,Добављач,
System Manager,Систем менаџер,
Task,Задатак,
Task Weight,zadatak Тежина,
Tax Exemption Category,Категорија опорезивања,
Tax Exemption Proofs,Докази о порезном ослобађању,
Tax on additional salary,Порез на додатну плату,
Tax on flexible benefit,Порез на флексибилну корист,
Taxable Salary Slab,Опорезива плата за опорезивање,
Taxable Salary Slabs,Опорезива плата за опорезивање,
Taxes and Charges on Income Tax,Порези и накнаде на порез на доходак,
Taxi,Такси,
Team Updates,тим ажурирања,
Template Name,Име шаблона,
Template Title,Наслов шаблона,
Terms,услови,
Terms and Conditions,Услови,
The fraction of daily wages to be paid for half-day attendance,Део дневница који ће се исплаћивати за полудневно присуство,
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Попис плата упућен запосленом биће заштићен лозинком, а лозинка ће се генерисати на основу смерница за лозинку.",
The time after the shift start time when check-in is considered as late (in minutes).,Време после почетка смене приликом пријављивања сматра се касним (у минутама).,
The time before the shift end time when check-out is considered as early (in minutes).,Време пре завршетка смене приликом одјаве сматра се раним (у минутама).,
The time before the shift start time during which Employee Check-in is considered for attendance.,Време пре почетка смене током којег се одјава пријављује за присуство.,
Theory,теорија,
Time,време,
Time Sheet,Распоред,
Time after the end of shift during which check-out is considered for attendance.,Време по завршетку смене током које се одјава одлази на присуство.,
Title,Наслов,
To Amount,За износ,
To Date,Датум завршетка,
To Time,За време,
To User,За корисника,
Total,Укупно,
Total Actual Amount,Укупни стварни износ,
Total Advance Amount,Укупан авансни износ,
Total Amount,Укупан износ,
Total Amount Reimbursed,Укупан износ рефундирају,
Total Claimed Amount,Укупан износ полаже,
Total Declared Amount,Укупан пријављени износ,
Total Deduction,Укупно Одбитак,
Total Earning,Укупна Зарада,
Total Estimated Budget,Укупни процијењени буџет,
Total Estimated Cost,Укупни процењени трошкови,
Total Exemption Amount,Укупан износ ослобађања,
Total Leave Days,Укупно ЛЕАВЕ Дана,
Total Leaves Allocated,Укупно Лишће Издвојена,
Total Leaves Encashed,Тотал Леавес Енцасед,
Total Sanctioned Amount,Укупан износ санкционисан,
Total Score,Крајњи резултат,
Total Taxes and Charges,Укупно Порези и накнаде,
Total Working Hours,Укупно Радно време,
Total in words,Укупно у речима,
